	labiodental:0;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
spreadGlottis:-	ts	tɕ	2/2	1.0
spreadGlottis:+	tsʰ		1/2	0.9289474695743095
	2/2	1/2
	1.0	0.8193990315296715
