	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	v			ɣ	3/5	0.5212362136269221
periodicGlottalSource:-	ɸ	f	θ	s	x	5/5	1.0
	2/2	2/2	1/2	1/2	2/2
	1.0	1.0	0.7209811905015922	0.7894718686030313	1.0
