	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;anterior:+;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z		ʑ	2/3	0.8934702136271474
periodicGlottalSource:-	s	ʂ	ɕ	3/3	1.0
	2/2	1/2	2/2
	1.0	0.7695171220302162	1.0
