	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t̪	c	k	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ̪	ʄ		3/4	0.920732418895932
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ	3/4	0.9317157280142805
periodicGlottalSource:+;loweredLarynxImplosive:-,+;sonorant:+,-;nasal:+,-			ɲʄ	-	1/3	0.014424728105323364
	3/4	3/4	3/4	2/3
	0.9999757365810261	0.9997743209565666	0.58367973059485	0.9942271009636375
