	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:+;coronal:-;distributed:0;dorsal:+	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		d	ɡb	ɡ	4/5	0.9320170751622482
periodicGlottalSource:-	p	t̪	t		k	4/5	0.9937835937966462
	2/2	1/2	2/2	1/2	2/2
	1.0	0.6685432490644522	1.0	0.530589332093437	1.0
