	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		d̠ʒ	ɡb	ɡ	5/6	0.8759593116882829
periodicGlottalSource:+;category:fricative	v		z		-		2/5	0.6121217332188817
periodicGlottalSource:-;category:affricate|plosive	p	t	t̪	t̠ʃ		k	5/6	0.9950573752925773
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	-		3/5	0.7561336259967913
	4/4	2/4	3/4	3/4	1/2	2/4
	1.0	0.941195015445833	0.8754032282689754	0.9236936179361749	0.530589332093437	0.8231799477121992
