	labial:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz	d̠ʒ	dzʷ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	ts	t̠ʃ		2/3	0.9918691283016351
periodicGlottalSource:-;spreadGlottis:+	tsʰ	t̠ʃʰ	tsʷʰ	3/3	1.0
	3/3	3/3	2/3
	1.0	1.0	0.36360229699338775
