β	v	vʷ	z	ʒ		βʲ	6/7	0.9812899390048331
	f	fʷ	s	ʃ	ʃʷ		5/7	0.9524750151149807
1/2	2/2	2/2	2/2	2/2	1/2	1/2
0.5610997274490522	1.0	1.0	1.0	1.0	0.5433356750125081	0.5368632077403817
