	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;low:0;front:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;category:affricate|plosive	b	d	ɡ	d̠ʒ	4/4	1.0
periodicGlottalSource:+;category:fricative		z		ʒ	2/4	0.6152382633553071
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive		t	k	q	3/4	0.7969364190693082
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s		ʃ	3/4	0.8850031640891903
periodicGlottalSource:-;constrictedGlottis:+;category:affricate|plosive		tˀ		t̠ʃˀ	2/4	0.6340269309069424
	2/5	5/5	2/5	5/5
	0.4186038300535047	1.0	0.7726306745813698	1.0
