	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d̪		ɡ	3/4	0.928607680795561
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ				1/4	0.3923150437830033
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	c	k	4/4	1.0
periodicGlottalSource:+;category:fricative	v	z̪			2/4	0.8067763381016309
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪			2/4	0.8542626557509946
	5/5	4/5	1/5	2/5
	1.0	0.986366752805883	0.4404724187456677	0.8141938381155446
