	labiodental:0;strident:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t̠ʃ	1/1	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	n̠d̠ʒ	1/1	1.0
	2/2
	1.0
