	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:+,-;sonorant:-;nasal:-;category:affricate|plosive	ˀb	ˀd	-	-	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ʃ		2/4	0.6150224012440701
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	pʰ	tʰ		kʰ	3/4	0.9039335352824687
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd	n̠d̠ʒ	ŋɡ	4/4	1.0
	4/5	5/5	3/4	3/4
	0.8270662944268259	1.0	0.9018766925378174	0.8510127361489149
