	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	dz̪	d	d̠ʒ	ɡ	ɡʷ	ɢ	ɢʷ	8/8	1.0
periodicGlottalSource:+;category:fricative		z̪							1/8	0.27022931823624724
periodicGlottalSource:-;category:affricate|plosive	p	ts̪	t̪	t̠ʃ	k	kʷ	q	qʷ	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪		ʃ					3/8	0.672547110944108
	3/4	4/4	2/4	3/4	2/4	2/4	2/4	2/4
	0.9241790684885567	1.0	0.903639454107945	0.9236936179361749	0.8598678076230013	0.8117901214674031	0.6342238500386337	0.5359966302972187
