	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;round:0;strident:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ	ɡʷ	ɢ	ɢʷ	6/6	1.0
periodicGlottalSource:-	p	t̪	k	kʷ	q	qʷ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
