	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	ð		2/3	0.8999681802323503
periodicGlottalSource:-		θ	ʂ	2/3	0.7022798313701
	1/2	2/2	1/2
	0.33745490270910106	1.0	0.7700411647665334
