	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d		ɟ	ɡ	5/6	0.9735588040626495
periodicGlottalSource:-	p	t̪	t	ʈ	c	k	6/6	1.0
	2/2	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	1.0	0.8174519143642547	1.0	1.0
