	labial:+;coronal:-;lateral:-;strident:0;dorsal:- | labial:+;coronal:-;lateral:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;lateral:-;strident:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;lateral:-;strident:-;dorsal:- | labial:-;coronal:+;lateral:-;strident:+;dorsal:- | labial:-;coronal:+;lateral:-;strident:-,+;dorsal:- | labial:-;coronal:+;lateral:-;strident:+;dorsal:-;distributed:- | labial:-;coronal:+;lateral:-;strident:+;dorsal:-;distributed:+ | labial:-;coronal:+;lateral:-;strident:+;dorsal:-;anterior:+;distributed:+	labial:-;coronal:+;lateral:+;strident:-;dorsal:- | labial:-;coronal:+;lateral:-,+;strident:-;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;dorsal:+ | labial:-;coronal:+;lateral:-;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;coronal:+;lateral:-;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;coronal:+;lateral:-;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b		-	ɡ	2/3	0.6531801595287529
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	-	k	3/3	1.0
periodicGlottalSource:+;category:fricative	β		ɮ		2/4	0.20293518502888785
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s			1/4	0.7203644911451471
	3/4	2/4	1/2	2/4
	0.8518003955819015	0.745496861603371	0.09742515434805624	0.8183461826219524
