	labial:+;coronal:-;lateral:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ɮ		2/3	0.3953911960538107
periodicGlottalSource:-			s	1/3	0.7063044819904624
	1/2	1/2	1/2
	0.33745490270910106	0.09742515434805624	0.790762449231698
