	labial:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v			ɣ	2/4	0.5212362136269221
periodicGlottalSource:-	f	θ	s	x	4/4	1.0
	2/2	1/2	1/2	2/2
	1.0	0.7209811905015922	0.7894718686030313	1.0
