	labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	d	dz	ɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ʃ		1/3	0.6328215577613433
	1/2	2/2	1/2
	0.7422907937200707	1.0	0.610519375108254
