	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		d			1/4	0.3211650136230504
periodicGlottalSource:-	p	t	ʈ	k	4/4	1.0
	1/2	2/2	1/2	1/2
	0.6469266840209866	1.0	0.8174519143642547	0.7131090135848781
