	d				1/5	0.38589675659532535
f	s				2/5	0.7997904315859155
p	t	ʈ	cç	k	5/5	1.0
2/3	3/3	1/3	1/3	1/3
0.7026847258565004	1.0	0.798363223697568	0.49209368376027196	0.6463576705560984
