	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɖ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ			-		1/4	0.3922256204908806
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t		kp	k	4/5	0.94860152048703
	3/3	2/3	1/3	2/2	2/3
	1.0	0.9712498557546734	0.16833466250240803	1.0	0.9881447527138928
