	labial:+;coronal:-;anterior:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;high:0;low:0;front:0;back:0;strident:+;distributed:+	count	markedness_count
periodicGlottalSource:+	v	ʒ	2/2	1.0
periodicGlottalSource:-	f	s̪	2/2	1.0
	2/2	2/2
	1.0	1.0
