	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ʐ	ɣ	5/5	1.0
periodicGlottalSource:-	f	s	ʃ	ʂ	x	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
