	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t		k	kʷ	4/5	0.9080845822879128
periodicGlottalSource:+;category:fricative				ɣ	ɣʷ	2/5	0.26315809837802784
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate	mb	nd	d̠ʒ	ŋɡ	ŋɡʷ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	ʃ	x		3/5	0.7874665890129185
	2/4	3/4	2/4	4/4	3/4
	0.7747744111928184	0.9414785611624714	0.43797297179576083	1.0	0.7822895164429826
