	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+			ɣ	ɣʷ	2/4	0.3546317937523192
periodicGlottalSource:-	s	ʃ	x		3/4	0.9531678928067256
	1/2	1/2	2/2	1/2
	0.7931118804251478	0.7783204924998441	1.0	0.17416760598366177
