	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	c	k	q	5/5	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	tʰ	cʰ	kʰ	qʰ	5/5	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	cʼ	kʼ	qʼ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
