	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	x	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	β				1/4	0.2946251284926988
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	nz			2/4	0.9363144303491587
	3/3	2/3	1/3	1/3
	1.0	0.79338641755376	0.7843079521830666	0.7044347480298516
