	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	-	t	-	k	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b	-	d	-		2/3	0.6528041186658856
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive	mb	-	nd	-	ŋɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate		pf	ts			2/5	0.44091798444070424
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		f	s	ʃ	x	4/5	0.9603047633953872
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	β	ɱv	nz			3/5	0.6272204017471339
	4/6	3/3	6/6	1/3	3/6
	0.9615275607802203	1.0	1.0	0.4280870861937505	0.7178633833763527
