	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t̪	k	2/3	0.7408548679903754
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	n̪d̪	ŋɡ	3/3	1.0
	1/2	2/2	2/2
	0.35742956402202924	1.0	1.0
