	labial:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;dorsal:+	count	markedness_count
periodicGlottalSource:+			ʝ	1/3	0.040617179140500934
periodicGlottalSource:-	ɸ	s̪		2/3	0.9627798894642489
	1/2	1/2	1/2
	0.6625210710769323	0.7929341138564405	0.2609717260564806
