	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+;distributed:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive		t̪	k	2/3	0.7489095242768609
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	n̪d̪	ŋɡ	3/3	1.0
periodicGlottalSource:+;category:fricative			ʝ	1/3	0.2010634095359684
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	s̪		2/3	0.8457508067859199
	2/4	3/4	3/4
	0.42632925524211607	0.8971413412875591	0.8772965488216843
