	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɟ	ɡ		4/5	0.9773607629506541
periodicGlottalSource:-;spreadGlottis:-	p	t	c	k	kʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ		3/5	0.9088866750046003
	3/3	3/3	2/3	3/3	1/3
	1.0	1.0	0.890526140260328	1.0	0.6995743879123792
