	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		z	1/2	0.6594476474297234
periodicGlottalSource:-	ɸ	s	2/2	1.0
	1/2	2/2
	0.6625450972908989	1.0
