b	d	ɟ	ɡ		4/5	0.9773607629506541
p	t	c	k	kʷ	5/5	1.0
pʰ	tʰ		kʰ		3/5	0.9088866750046003
3/3	3/3	2/3	3/3	1/3
1.0	1.0	0.890526140260328	1.0	0.6995743879123792
