	labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;retractedTongueRoot:-	labial:-,-,+;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;retractedTongueRoot:-,+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;retractedTongueRoot:-,+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-						-	qχ	qχˤ	qχʷ	qχʷˤ	4/9	0.05687639625206089
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+ | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	t̪ɬ̪ʼ|tɬʼ	t̪s̪ʼ|tsʼ	t̠ʃʼ	t̪s̪ʷʼ|tsʷʼ	t̠ʃʷʼ	t̪ɬ̪ʷʼ|tɬʷʼ	qχʼ	qχˤʼ	qχʷʼ	qχʷˤʼ	10/10	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:- | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-	t̪ɬ̪ʰ|tɬʰ	t̪s̪ʰ|tsʰ	t̠ʃʰ	t̪s̪ʷʰ|tsʷʰ	t̠ʃʷʰ	t̪ɬ̪ʷʰ|tɬʷʰ			-	-	6/8	0.953185589154387
	2/3	2/3	2/3	2/3	2/3	2/2	2/3	2/3	2/2	2/2
	0.524339528379206	0.39518814433920174	0.3099170750320875	0.9765206921155903	0.6447532355831991	1.0	0.8634377147783382	0.7600945834919745	1.0	1.0
