	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-;round:0	labial:-,+;coronal:+;distributed:0;dorsal:-;round:+	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ|tʼ	-	kʼ	kʷʼ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪|d	d̪ʷ|dʷ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	t̪ʰ|tʰ	t̪ʷʰ|tʷʰ	kʰ	kʷʰ	5/5	1.0
	3/3	3/3	2/2	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
