	labial:+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-	labial:-,-,+;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:-,+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:-,+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b		d̪|d			-	d̪ʷ|dʷ			-	ɡʷ					ɡ	5/14	0.8670221528526991
periodicGlottalSource:+;category:fricative		ɮ̪|ɮ		z̪|z	ʒ	-	-	z̪ʷ|zʷ	ʒʷ	-		ʁ	ʁˤ	ʁʷ	ʁʷˤ	ʕ	10/13	0.6911880478390877
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive						-				-		qχ	qχˤ	qχʷ	qχʷˤ		4/14	0.03846143753713762
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ̪|ɬ		s̪|s	ʃ	ɬ̪ʷ|ɬʷ	-	s̪ʷ|sʷ	ʃʷ	-		χ	χˤ	χʷ	χʷˤ	ħ	11/14	0.7936214997010231
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	pʰ	t̪ɬ̪ʰ|tɬʰ	t̪ʰ|tʰ	t̪s̪ʰ|tsʰ	t̠ʃʰ	-	t̪ʷʰ|tʷʰ	t̪s̪ʷʰ|tsʷʰ	t̠ʃʷʰ	t̪ɬ̪ʷʰ|tɬʷʰ	kʷʰ					kʰ	11/15	0.9322291769854496
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	t̪ɬ̪ʼ|tɬʼ	t̪ʼ|tʼ	t̪s̪ʼ|tsʼ	t̠ʃʼ	-		t̪s̪ʷʼ|tsʷʼ	t̠ʃʷʼ	t̪ɬ̪ʷʼ|tɬʷʼ	kʷʼ	qχʼ	qχˤʼ	qχʷʼ	qχʷˤʼ	kʼ	14/15	0.9933973320234216
	3/6	4/6	3/6	4/6	4/6	1/1	2/4	4/6	4/6	2/2	3/6	4/6	4/6	4/6	4/6	5/6
	0.4057953142812616	0.8157990344702599	0.4578231046153804	0.7765851421922668	0.5614936709616059	1.0	0.39811461554353267	0.9897318859175444	0.8403628456574274	1.0	0.4081885520781129	0.7929488010432526	0.8695607960873566	0.8947132359098247	0.85	0.5853511189429946
