	labiodental:0;dorsal:-;round:0	labiodental:0;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		zʲ	1/2	0.04561735377578013
periodicGlottalSource:-	s		1/2	0.9657106204584681
	1/2	1/2
	0.7903072196662834	0.26317597585214786
