	tʼ	kʼ	2/3	0.7723084132353424
b	d	ɡ	3/3	1.0
ɓ	ɗ		2/3	0.8108077539606614
p	t	k	3/3	1.0
3/4	4/4	3/4
0.92667169799602	1.0	0.9880015935297997
