variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-3663.9591855625,-3663.25675,47.86559146624778,48.932768219999936,-3741.9922400000005,-3586.384535,1.0019718126145836,1614.6714744370177,3666.5637071202655
z_std[1],0.0941814082807225,0.09893734000000001,0.95752670395437,0.964881610098,-1.47497005,1.6731637499999998,1.0008193407392776,13494.383728045827,5588.224027430986
z_std[2],-0.019898740687335,-0.016501166999999997,0.941043374464204,0.9418244936268,-1.584726845,1.5326430849999984,1.00111740961734,13752.618419498865,5695.6676893637905
z_std[3],0.0891723178638475,0.084570176,0.9137473421318552,0.9088689895109999,-1.4248857549999998,1.5837674499999999,1.0002470877297958,11236.15357475408,6160.345913950031
z_std[4],0.34052360155362377,0.34632558999999996,0.9605549604182342,0.9598211923650001,-1.23630783,1.8944263099999998,1.0011161406661933,14160.490362105762,6052.447914671435
z_std[5],-0.4188676693388825,-0.412687115,0.9896645566991845,0.983254056015,-2.0458180599999998,1.214161929999999,1.0001878704678022,14048.573431084786,5821.5144958294095
z_std[6],0.174588673044015,0.179254645,0.9925708934617082,0.968937314289,-1.4391104699999997,1.848464194999998,1.0015154487572182,13717.51669286046,5200.4060664261515
z_std[7],0.03816062459937038,0.029152947,1.0036989229358184,0.9982540910159999,-1.6060440799999998,1.703740654999998,1.0012636590422355,13524.571796679687,5476.914445699119
z_std[8],0.06910285033548462,0.076519646,0.9871562158639938,1.001902280358,-1.5822172700000001,1.6827812549999992,1.0008013849672293,12109.62260052331,5671.404499693112
z_std[9],-0.2814172134915851,-0.288043475,0.9461002703607435,0.9584000164829999,-1.81076429,1.3049508749999987,1.0005765984813915,12935.399081366973,6637.677970188319
z_std[10],-0.27916910917267374,-0.28919996000000003,0.9601026490209283,0.968498805687,-1.85287968,1.3055345099999984,1.000106905070882,13234.925304632283,5678.548849897307
z_std[11],0.28044176397611875,0.293880755,0.9466915336713435,0.954693701808,-1.28339078,1.8430964849999996,1.0000885765042906,14107.235527858704,5442.521021801351
z_std[12],0.2938616586276075,0.29484282,0.9336005023869848,0.919938281262,-1.25072627,1.8385053449999997,1.001168083921797,13984.225449551059,6141.015276369832
z_std[13],0.372549904991176,0.376488485,0.9055224040712375,0.8740659626789999,-1.113446215,1.8792188699999994,1.0001386886454722,14407.536845758146,6064.056751228166
z_std[14],0.22725764385698,0.236312185,0.9529497062871808,0.932904292845,-1.3538299,1.808482464999998,0.999883633500488,13622.332536953627,6085.662755646615
z_std[15],0.23009230003226375,0.229637165,0.9498760886360086,0.950320476588,-1.34746548,1.7874336649999993,0.999977398873282,14043.304784177113,5960.837016037722
z_std[16],0.22360527540933375,0.22118737,0.9542803484799961,0.937039019616,-1.360264135,1.8063632149999995,1.0002504326476656,13794.415181009883,5817.468877393068
z_std[17],0.22752901458137376,0.22686971,0.9491823510862805,0.96577253409,-1.353883365,1.7945464849999986,1.0015027897154183,14108.020594707992,5360.432681113113
