	labial:+;labiodental:-;coronal:-;distributed:0;dorsal:- | labial:+;labiodental:-;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;distributed:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;distributed:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:-;strident:- | labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:-;strident:+	labial:-;labiodental:0;coronal:-;distributed:0;dorsal:+ | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:+;anterior:+;strident:+;front:+ | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:+;anterior:-;strident:-;front:+ | labial:-;labiodental:0;coronal:+;distributed:+;dorsal:-,+;anterior:-;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t	k	2/3	0.7500005506004791
periodicGlottalSource:+;category:fricative		ð		1/3	0.569626205360226
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f			1/3	0.14983467670574724
	2/4	3/4	2/4
	0.42229157433960707	0.6565958102860922	0.8185257398988781
