	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		ð	1/2	0.6594476474297234
periodicGlottalSource:-	f		1/2	0.2156158826294055
	1/2	1/2
	0.6625450972908989	0.2132872450827784
