	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;round:0;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;round:0;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;round:0;anterior:-;high:+;low:-;front:+;back:-	labial:-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;distributed:+;dorsal:+;round:+;anterior:-;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;distributed:+;dorsal:+;round:+;anterior:-;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;distributed:+;dorsal:-;round:+;anterior:-;high:0;low:0;front:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;distributed:+;dorsal:-;round:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d	d̪	ɡb	ɡ		5/6	0.976398952005167
periodicGlottalSource:-;loweredLarynxImplosive:+;category:plosive | periodicGlottalSource:+;loweredLarynxImplosive:+;spreadGlottis:-;category:plosive	ɓ̥			-		-	1/4	0.4120950140002098
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	t̪		k		4/6	0.9496841482972282
periodicGlottalSource:+;spreadGlottis:-;category:fricative	v		z	-	ɣ	ɣʷ	4/5	0.9870805748409924
periodicGlottalSource:+;spreadGlottis:+;category:fricative	v̤			-		-	1/4	0.40129265784610835
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-			2/5	0.7683530780215828
	6/6	2/6	4/6	1/2	3/6	1/4
	1.0	0.917662983267953	0.9991929947204873	0.5317990059490916	0.8624197161784265	0.04695010284847557
