	labial:+;coronal:-;distributed:0;dorsal:-; ̺:-	labial:-;coronal:+;distributed:-;dorsal:-; ̺:+	labial:-;coronal:+;distributed:-;dorsal:-; ̺:-	labial:-;coronal:+;distributed:+;dorsal:+; ̺:-	count	markedness_count
periodicGlottalSource:+		z̺	z	ʑ	3/4	0.7089955879190514
periodicGlottalSource:-	f	s̺	s	ɕ	4/4	1.0
	1/2	2/2	2/2	2/2
	0.6625210710769323	1.0	1.0	1.0
