	labiodental:0;strident:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	s	1/1	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	z	1/1	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	nz	1/1	1.0
	3/3
	1.0
