	labiodental:0;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	ð	z	2/2	1.0
periodicGlottalSource:-	θ	ʃ	2/2	1.0
	2/2	2/2
	1.0	1.0
