	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;lateral:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b		ɡ	2/3	0.6772096498136061
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive		ɗ		1/3	0.39723957971642204
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:+;category:fricative		ð	z	2/3	0.7577185801085503
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		θ	ʃ	2/3	0.8425373413526146
	2/5	4/5	4/5
	0.7507667863510555	0.7549828928714705	0.9937525576354159
