		-	kɡ	1/3	0.40862106387716723
b	d	ɡb	ɡʷ	4/4	1.0
ɓ		-		1/3	0.39205063234099496
p	t	kp	kʷ	4/4	1.0
3/4	2/4	2/2	3/4
0.9998434401632161	0.972909558862144	1.0	0.9892685070046964
