		-	kɡ	-	1/3	0.40862106387716723
b	d	ɡb		ɡʷ	4/5	0.6615009750482612
ɓ		-		-	1/3	0.39205063234099496
p	t	kp		kʷ	4/5	0.6386907809707928
v	z	-			2/4	0.81506596943354
f	s	-			2/4	0.8504707156299052
5/6	4/6	2/2	1/6	2/4
0.9998784282401246	0.987728503741796	1.0	0.0001324295054349682	0.7304314853309757
