	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;labiodental:-;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-,+;loweredLarynxImplosive:-;category:plosive			-	kɡ	-	1/3	0.40862106387716723
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d	ɡb		ɡʷ	4/5	0.6615009750482612
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ		-		-	1/3	0.39205063234099496
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	kp		kʷ	4/5	0.6386907809707928
periodicGlottalSource:+;category:fricative	v	z	-			2/4	0.81506596943354
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-			2/4	0.8504707156299052
	5/6	4/6	2/2	1/6	2/4
	0.9998784282401246	0.987728503741796	1.0	0.0001324295054349682	0.7304314853309757
