	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d			2/4	0.6562156925250876
periodicGlottalSource:-;spreadGlottis:-	p	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9495385262205662
	3/3	3/3	1/3	2/3
	1.0	1.0	0.43284139343343747	0.7477985371653701
