	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;high:+;low:-;front:+;back:-;dorsal:+ | labial:-;coronal:+;strident:-;anterior:-;distributed:-;high:0;low:0;front:0;back:0;dorsal:-;lateral:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	d̠	3/3	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t		2/3	0.9997560081584717
periodicGlottalSource:+;category:fricative	β			1/3	0.349746781919556
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s		1/3	0.7720552891115298
	3/4	3/4	1/4
	0.8518059816080514	0.9129941786271224	0.19634341169445843
