	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		vʲ	vˠ		ʝ	ɣ	4/6	0.4084880278530105
periodicGlottalSource:-	ʃ	fʲ	fˠ	sˠ	ç	x	6/6	1.0
	1/2	2/2	2/2	1/2	2/2	2/2
	0.790979405536229	1.0	1.0	0.6045918367346939	1.0	1.0
