	labial:+;coronal:-;anterior:0;dorsal:-,+;front:+	labial:+;coronal:-;anterior:0;dorsal:-,+;front:-	labial:-;coronal:+;anterior:+;dorsal:-,+;front:+	labial:-;coronal:+;anterior:+;dorsal:-,+;front:-	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	bʲ	bˠ	d̪ʲ	d̪ˠ	ɟ	ɡ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+	pʲʰ	pˠʰ	t̪ʲʰ	t̪ˠʰ	cʰ	kʰ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
