	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ		ɡʷ	4/5	0.9222753168644804
periodicGlottalSource:-	p	t	k	kʲ	kʷ	5/5	1.0
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.5585281024015436	1.0
