	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		ʝ			1/4	0.04911891445574033
periodicGlottalSource:-	s	xʲ	x	xʷ	4/4	1.0
	1/2	2/2	1/2	1/2
	0.7894718686030313	1.0	0.6980646335439697	0.8259127299709825
