	labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:- | labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;round:0;anterior:+	labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0 | labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;round:0;anterior:+;front:+ | labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;round:0;anterior:-;front:+ | labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;round:0;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	-	t	k	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	s	θ	x	3/3	1.0
	1/1	2/2	2/2
	1.0	1.0	1.0
