	labial:+;coronal:-;lateral:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		ɮ̪|ɮ	z	2/3	0.6284197642336081
periodicGlottalSource:-	f	ɬ̪|ɬ	s	3/3	1.0
	1/2	2/2	2/2
	0.6625450972908989	1.0	1.0
