			kʼ	1/4	0.42298437337022676
b	d̪		ɡ	3/4	0.9301158159455519
ɓ	ɗ̪	ʄ	ɠ	4/4	1.0
p	t̪		k	3/4	0.9603513316813159
3/4	3/4	1/4	4/4
0.92667169799602	0.9243812621637449	0.052831502257601734	1.0
