	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;category:affricate|plosive	b	d̪	dz		ɡ	d̠ʒ	5/6	0.9976911472880283
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ̪	-	-	ɠ	ʄ	4/4	1.0
periodicGlottalSource:+;category:fricative			z	ɮ̪|ɮ			2/6	0.252001636637681
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t̪	ts		k	t̠ʃ	5/6	0.9988909081506724
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ɬ̪|ɬ			3/6	0.4922134375306805
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;category:affricate			tsʼ	t̪ɬ̪ʼ|tɬʼ	kʼ		3/6	0.4505681296315636
	4/6	3/6	5/5	3/5	4/6	3/6
	0.8671058062135603	0.7743423292655616	1.0	0.7109827320078784	0.8192257643665644	0.5753032134429209
