	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	ɮ	z	ʒ	ʝ	ɣ	6/6	1.0
periodicGlottalSource:-	f	ɬ	s	ʃ	ç	x	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
