	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d	dz	d̠ʒ	ɟ	ɡ	6/7	0.9980763761356906
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-	ɗ	-	-			2/4	0.8038629283657579
periodicGlottalSource:+;category:fricative	v	ɮ		z	ʒ	ʝ	ɣ	6/7	0.938468111825454
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t	ts	t̠ʃ	c	k	6/7	0.9904227872138391
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ		s	ʃ	ç	x	6/7	0.9456810456248674
	5/5	2/4	3/5	4/4	4/4	4/5	4/5
	1.0	0.6387032679104904	0.9398547393820654	1.0	1.0	0.9624303833439254	0.995378561422533
